Date,Weighted_Average_Score
2009-02-03,1.9037554500000002
2009-02-04,3.0339163300000003
2009-02-05,3.63638566
2009-02-06,3.0755624599999996
2009-02-09,3.85935735
2009-02-10,3.4717974599999994
2009-02-11,2.90674454
2009-02-12,2.9613818600000004
2009-02-13,1.63493069
2009-02-17,2.68809937
2009-02-18,1.70344258
2009-02-19,2.0147390300000003
2009-02-20,3.3411046100000004
2009-02-23,2.48498312
2009-02-24,1.9058391900000002
2009-02-25,2.14339997
2009-02-26,2.51860681
2009-02-27,4.60994497
2009-03-02,2.9551893300000005
2009-03-03,3.32720326
2009-03-04,2.61106682
2009-03-05,2.90626494
2009-03-06,3.2230694900000003
2009-03-09,2.077732
2009-03-10,3.78317858
2009-03-11,1.95164373
2009-03-12,2.3066311400000004
2009-03-13,3.65130586
2009-03-17,2.14661898
2009-03-18,3.5273252000000004
2009-03-19,2.47233744
2009-03-20,1.7786981700000002
2009-03-23,3.0429013000000005
2009-03-24,2.6214386000000003
2009-03-25,2.35159809
2009-03-26,2.42306332
2009-03-27,2.91937006
2009-03-30,2.58171741
2009-03-31,2.44846465
2009-04-02,3.34990754
2009-04-03,2.6589672799999997
2009-04-06,3.13648638
2009-04-07,2.93457285
2009-04-08,2.28630687
2009-04-09,1.9785174099999998
2009-04-13,1.79295014
2009-04-14,3.5780959400000003
2009-04-15,2.6218737800000005
2009-04-16,2.57451788
2009-04-17,2.41670064
2009-04-20,2.32136902
2009-04-21,2.6693484300000003
2009-04-22,1.94915808
2009-04-23,2.34114225
2009-04-24,2.14340535
2009-04-27,2.1061913299999997
2009-04-28,2.3851586900000004
2009-04-29,2.61891825
2009-04-30,2.6360937
2009-05-01,2.2375986900000004
2009-05-04,1.65080555
2009-05-05,1.9143642300000003
2009-05-06,2.58871971
2009-05-07,2.24524312
2009-05-08,2.4831940699999997
2009-05-11,2.71132352
2009-05-13,1.5513952199999999
2009-05-14,1.59528364
2009-05-15,2.1142302
2009-05-18,2.64780005
2009-05-19,2.37261081
2009-05-21,3.8575504
2009-05-22,3.5999466
2009-05-26,2.56025743
